work_key	work_title	work_author	total_candidates	sampling_method	sampling_seed	sampled_n	include_substantive_n	include_mention_n	broad_visibility_include_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	error_n	broad_visibility_rate_among_decided	model	prompt_version
/works/OL82911W	A Fable	William Faulkner	61	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL1190289W	À la recherche du temps perdu	Proust, Marcel	748	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL38989822W	A portrait of the artist as a young man	Joyce, James	509	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL88813W	A Room with a View	E. M. Forster	85	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL262496W	A Study in Scarlet	Doyle, Arthur Conan	48	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL82928W	Absalom, Absalom!	William Faulkner	379	uniform_reservoir_sampling	20260713	1	0	1	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL18448451W	Aesop's fables	Aesop.	362	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL1487721W	Alas!	Rhoda Broughton	1	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL12781W	Alexander's Bridge	Willa Cather	32	uniform_reservoir_sampling	20260713	2	1	0	1	0	0	1	0	1.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL1336767W	Arnold	Arnold, Matthew	34536	uniform_reservoir_sampling	20260713	3	0	0	0	0	3	0	0	0.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL82929W	As I Lay Dying	William Faulkner	285	uniform_reservoir_sampling	20260713	3	2	1	3	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL65437W	At Fault	Kate Chopin	13	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL102746W	Billy Budd	Herman Melville	268	uniform_reservoir_sampling	20260713	1	0	0	0	0	0	1	0		gpt-5-mini	literary_visibility_v4_dev300_20260818
/works/OL5721394W	Brideshead Revisited	Evelyn Waugh	73	uniform_reservoir_sampling	20260713	3	2	0	2	1	0	0	0	0.667	gpt-5-mini	literary_visibility_v4_dev300_20260818
